Player,Team,Position,Salary
Buster Posey,SF,C,3300
Brooks Pounders,COL,P,5500
Boog Powell,OAK,OF,2000
Bobby Poyner,BOS,P,5500
Martin Prado,MIA,3B,2300
David Price,BOS,P,7000
Jurickson Profar,TEX,SS,2800
Austin Pruitt,TB,P,5500
Yasiel Puig,LAD,OF,2800
Albert Pujols,LAA,1B,3800
Kevin Quackenbush,CIN,P,5500
Jose Quintana,CHC,P,7700
Tanner Rainey,CIN,P,5500
J.C. Ramirez,LAA,P,5500
Erasmo Ramirez,SEA,P,6100
Jose Ramirez,ATL,P,5500
Jose Ramirez,CLE,3B,4200
Noe Ramirez,LAA,P,5500
Hanley Ramirez,BOS,1B,3900
Carlos Ramirez,TOR,P,5500
Yefry Ramirez,BAL,P,5500
Wilson Ramos,TB,C,2800
A.J. Ramos,NYM,P,5500
Edubray Ramos,PHI,P,5500
Colby Rasmus,BAL,OF,2000
Josh Ravin,ATL,P,5500
Robbie Ray,ARI,P,9000
Colin Rea,SD,P,5500
Raudy Read,WSH,C,2000
J.T. Realmuto,MIA,C,3700
Josh Reddick,HOU,OF,3100
Cody Reed,CIN,P,5500
Rob Refsnyder,TB,OF,2000
Anthony Rendon,WSH,3B,3600
Hunter Renfroe,SD,OF,2200
Jose Reyes,NYM,SS,2000
Victor Reyes,DET,OF,2000
Matt Reynolds,WSH,3B,2000
Jacob Rhame,NYM,P,5500
Clayton Richard,SD,P,6500
Garrett Richards,LAA,P,7900
Trevor Richards,MIA,P,5700
Joey Rickard,BAL,OF,2000
J.T. Riddle,MIA,SS,2000
Yacksel Rios,PHI,P,5500
Rene Rivera,LAA,C,3000
Yadiel Rivera,MIA,SS,2000
T.J. Rivera,NYM,2B,2000
Anthony Rizzo,CHC,1B,4000
Tanner Roark,WSH,P,9200
Daniel Robertson,TB,2B,2900
David Robertson,NYY,P,5500
Shane Robinson,NYY,OF,2000
Drew Robinson,TEX,2B,2000
Hansel Robles,NYM,P,5500
Brady Rodgers,HOU,P,5500
Carlos Rodon,CWS,P,6200
