name,Power,Ground
Danny Salazar,vs. Power,vs. avg.F/G
Darin Downs,vs. Power,vs. Fly Ball
Dario Alvarez,vs. Power,vs. Fly Ball
Darren O'Day,vs. Power,vs. Fly Ball
David Buchanan,vs. Finesse,vs. GrndBall
David Carpenter,vs. Power,vs. Fly Ball
David Hale,vs. Finesse,vs. GrndBall
David Hernandez,vs. Power,vs. Fly Ball
David Hess,vs. Finesse,vs. Fly Ball
David Holmberg,vs. Finesse,vs. avg.F/G
David Huff,vs. Finesse,vs. Fly Ball
David Paulino,vs. avg.P/F,vs. Fly Ball
David Phelps,vs. avg.P/F,vs. avg.F/G
David Price,vs. avg.P/F,vs. avg.F/G
David Robertson,vs. Power,vs. avg.F/G
Dellin Betances,vs. Power,vs. GrndBall
Deolis Guerra,vs. Finesse,vs. avg.F/G
Dereck Rodriguez,vs. Finesse,vs. GrndBall
Derek Holland,vs. Finesse,vs. avg.F/G
Derek Law,vs. avg.P/F,vs. GrndBall
Diego Castillo,vs. Power,vs. avg.F/G
Dillon Gee,vs. Finesse,vs. avg.F/G
Dillon Peters,vs. avg.P/F,vs. GrndBall
Dinelson Lamet,vs. Power,vs. Fly Ball
Domingo German,vs. Power,vs. Fly Ball
Dominic Leone,vs. Power,vs. avg.F/G
Donn Roach,vs. Finesse,vs. GrndBall
Donnie Hart,vs. Finesse,vs. GrndBall
Doug Fister,vs. Finesse,vs. GrndBall
Drew Hutchison,vs. avg.P/F,vs. Fly Ball
Drew Pomeranz,vs. Power,vs. avg.F/G
Drew Rucinski,vs. avg.P/F,vs. avg.F/G
Drew Smyly,vs. avg.P/F,vs. Fly Ball
Drew Steckenrider,vs. Power,vs. Fly Ball
Drew Storen,vs. avg.P/F,vs. avg.F/G
Dustin McGowan,vs. avg.P/F,vs. avg.F/G
Dylan Axelrod,vs. Finesse,vs. Fly Ball
Dylan Bundy,vs. avg.P/F,vs. Fly Ball
Dylan Covey,vs. Finesse,vs. GrndBall
Dylan Floro,vs. Finesse,vs. GrndBall
Eddie Butler,vs. Finesse,vs. GrndBall
Edgar Santana,vs. avg.P/F,vs. avg.F/G
Edinson Volquez,vs. avg.P/F,vs. GrndBall
Eduardo Rodriguez,vs. avg.P/F,vs. Fly Ball
Edubray Ramos,vs. Power,vs. Fly Ball
Edward Mujica,vs. Finesse,vs. Fly Ball
Edward Paredes,vs. avg.P/F,vs. Fly Ball
Edwin Diaz,vs. Power,vs. avg.F/G
Edwin Jackson,vs. Finesse,vs. avg.F/G
Elieser Hernandez,vs. Finesse,vs. Fly Ball
Elvis Araujo,vs. Power,vs. Fly Ball
Emilio Pagan,vs. avg.P/F,vs. Fly Ball
Enny Romero,vs. Power,vs. Fly Ball
Enrique Burgos,vs. Power,vs. avg.F/G
Enyel De Los Santos,vs. Power,vs. Fly Ball
Erasmo Ramirez,vs. Finesse,vs. avg.F/G
Eric Lauer,vs. avg.P/F,vs. Fly Ball
Eric Stults,vs. Finesse,vs. Fly Ball
Eric Surkamp,vs. Finesse,vs. Fly Ball
Erick Fedde,vs. Finesse,vs. GrndBall
Erik Bedard,vs. Power,vs. Fly Ball
Erik Goeddel,vs. Power,vs. Fly Ball
Erik Johnson,vs. Finesse,vs. Fly Ball
Ernesto Frieri,vs. Power,vs. Fly Ball
Ervin Santana,vs. Finesse,vs. Fly Ball
Esmil Rogers,vs. avg.P/F,vs. avg.F/G
Eury De La Rosa,vs. avg.P/F,vs. Fly Ball
Evan Marshall,vs. avg.P/F,vs. GrndBall
Evan Scribner,vs. Finesse,vs. Fly Ball
